date,store,item,forecasted_sales
2018-01-01,1,1,12.138213
2018-01-02,1,1,41.56371
2018-01-03,1,1,41.2855
2018-01-04,1,1,45.130962
2018-01-05,1,1,47.958504
2018-01-06,1,1,51.251392
2018-01-07,1,1,53.62129
2018-01-08,1,1,36.50421
2018-01-09,1,1,41.641705
2018-01-10,1,1,41.84635
2018-01-11,1,1,44.517063
2018-01-12,1,1,47.629505
2018-01-13,1,1,50.47902
2018-01-14,1,1,53.064648
2018-01-15,1,1,36.579773
2018-01-16,1,1,42.1618
2018-01-17,1,1,42.42592
2018-01-18,1,1,44.80348
2018-01-19,1,1,48.006523
2018-01-20,1,1,51.042038
2018-01-21,1,1,53.990158
2018-01-22,1,1,36.9957
2018-01-23,1,1,42.27292
2018-01-24,1,1,42.091625
2018-01-25,1,1,45.554756
2018-01-26,1,1,48.461823
2018-01-27,1,1,51.8547
2018-01-28,1,1,54.601395
2018-01-29,1,1,37.883205
2018-01-30,1,1,43.457676
2018-01-31,1,1,44.402905
2018-02-01,1,1,52.380497
2018-02-02,1,1,55.601135
2018-02-03,1,1,58.495888
2018-02-04,1,1,60.96709
2018-02-05,1,1,42.37591
2018-02-06,1,1,46.86406
2018-02-07,1,1,47.086227
2018-02-08,1,1,50.028313
2018-02-09,1,1,53.263405
2018-02-10,1,1,56.38776
2018-02-11,1,1,59.3587
2018-02-12,1,1,40.307327
2018-02-13,1,1,45.554054
2018-02-14,1,1,46.04905
2018-02-15,1,1,48.891556
2018-02-16,1,1,52.18142
2018-02-17,1,1,55.197697
2018-02-18,1,1,58.325825
2018-02-19,1,1,39.68989
2018-02-20,1,1,44.8961
2018-02-21,1,1,45.287464
2018-02-22,1,1,48.448315
2018-02-23,1,1,51.649975
2018-02-24,1,1,54.612778
2018-02-25,1,1,57.818493
2018-02-26,1,1,39.22464
2018-02-27,1,1,44.365597
2018-02-28,1,1,44.73488
2018-03-01,1,1,56.588837
2018-03-02,1,1,59.700634
2018-03-03,1,1,62.4095
2018-03-04,1,1,64.149315
2018-03-05,1,1,44.68674
2018-03-06,1,1,49.362896
2018-03-07,1,1,49.24767
2018-03-08,1,1,52.091244
2018-03-09,1,1,55.188614
2018-03-10,1,1,58.253185
2018-03-11,1,1,60.893208
2018-03-12,1,1,41.539886
2018-03-13,1,1,46.975216
2018-03-14,1,1,47.486526
2018-03-15,1,1,49.993423
2018-03-16,1,1,53.153275
2018-03-17,1,1,56.049053
2018-03-18,1,1,59.093678
2018-03-19,1,1,40.43568
2018-03-20,1,1,45.745052
2018-03-21,1,1,46.100826
2018-03-22,1,1,49.237324
2018-03-23,1,1,52.27002
2018-03-24,1,1,55.10799
2018-03-25,1,1,58.007492
2018-03-26,1,1,39.46981
2018-03-27,1,1,44.71824
2018-03-28,1,1,45.09773
2018-03-29,1,1,48.055744
2018-03-30,1,1,51.291702
2018-03-31,1,1,53.947838
2018-01-01,1,2,34.842133
2018-01-02,1,2,42.250725
2018-01-03,1,2,42.018337
2018-01-04,1,2,46.407787
2018-01-05,1,2,49.12678
2018-01-06,1,2,53.006203
2018-01-07,1,2,55.655678
2018-01-08,1,2,37.569412
2018-01-09,1,2,42.730656
2018-01-10,1,2,44.271744
2018-01-11,1,2,46.115505
2018-01-12,1,2,50.354458
2018-01-13,1,2,52.93867
2018-01-14,1,2,55.912037
2018-01-15,1,2,38.01529
2018-01-16,1,2,43.57342
2018-01-17,1,2,43.609108
2018-01-18,1,2,46.940804
2018-01-19,1,2,49.59725
2018-01-20,1,2,53.014008
2018-01-21,1,2,56.095844
2018-01-22,1,2,38.333824
2018-01-23,1,2,43.82874
2018-01-24,1,2,44.404266
2018-01-25,1,2,47.780632
2018-01-26,1,2,51.04285
2018-01-27,1,2,53.923462
2018-01-28,1,2,57.223198
2018-01-29,1,2,38.603607
2018-01-30,1,2,44.132706
2018-01-31,1,2,44.459152
2018-02-01,1,2,52.436745
2018-02-02,1,2,55.657383
2018-02-03,1,2,58.552135
2018-02-04,1,2,61.02334
2018-02-05,1,2,42.43216
2018-02-06,1,2,46.920307
2018-02-07,1,2,47.142475
2018-02-08,1,2,50.08456
2018-02-09,1,2,53.319653
2018-02-10,1,2,56.444008
2018-02-11,1,2,59.414948
2018-02-12,1,2,40.363575
2018-02-13,1,2,45.610302
2018-02-14,1,2,46.105297
2018-02-15,1,2,48.947803
2018-02-16,1,2,52.237667
2018-02-17,1,2,55.253944
2018-02-18,1,2,58.382072
2018-02-19,1,2,39.74614
2018-02-20,1,2,44.952347
2018-02-21,1,2,45.34371
2018-02-22,1,2,48.504562
2018-02-23,1,2,51.706223
2018-02-24,1,2,54.669025
2018-02-25,1,2,57.87474
2018-02-26,1,2,39.280888
2018-02-27,1,2,44.421844
2018-02-28,1,2,44.791126
2018-03-01,1,2,56.645084
2018-03-02,1,2,59.75688
2018-03-03,1,2,62.465748
2018-03-04,1,2,64.20556
2018-03-05,1,2,44.74299
2018-03-06,1,2,49.419144
2018-03-07,1,2,49.303917
2018-03-08,1,2,52.14749
2018-03-09,1,2,55.24486
2018-03-10,1,2,58.309433
2018-03-11,1,2,60.949455
2018-03-12,1,2,41.596134
2018-03-13,1,2,47.031464
2018-03-14,1,2,47.542774
2018-03-15,1,2,50.04967
2018-03-16,1,2,53.209522
2018-03-17,1,2,56.1053
2018-03-18,1,2,59.149925
2018-03-19,1,2,40.49193
2018-03-20,1,2,45.8013
2018-03-21,1,2,46.157074
2018-03-22,1,2,49.29357
2018-03-23,1,2,52.326267
2018-03-24,1,2,55.164238
2018-03-25,1,2,58.06374
2018-03-26,1,2,39.52606
2018-03-27,1,2,44.774487
2018-03-28,1,2,45.153976
2018-03-29,1,2,48.11199
2018-03-30,1,2,51.34795
2018-03-31,1,2,54.004086
2018-01-01,1,3,20.054241
2018-01-02,1,3,41.603252
2018-01-03,1,3,41.75684
2018-01-04,1,3,45.08087
2018-01-05,1,3,47.790195
2018-01-06,1,3,51.258205
2018-01-07,1,3,54.517673
2018-01-08,1,3,36.565987
2018-01-09,1,3,42.10483
2018-01-10,1,3,41.873314
2018-01-11,1,3,45.53844
2018-01-12,1,3,48.08253
2018-01-13,1,3,51.126915
2018-01-14,1,3,54.559586
2018-01-15,1,3,37.2794
2018-01-16,1,3,42.68912
2018-01-17,1,3,42.697533
2018-01-18,1,3,45.827457
2018-01-19,1,3,48.697346
2018-01-20,1,3,52.23935
2018-01-21,1,3,55.070053
2018-01-22,1,3,37.65341
2018-01-23,1,3,42.747177
2018-01-24,1,3,43.137447
2018-01-25,1,3,45.95503
2018-01-26,1,3,49.73872
2018-01-27,1,3,52.14452
2018-01-28,1,3,55.64529
2018-01-29,1,3,37.939453
2018-01-30,1,3,43.671535
2018-01-31,1,3,44.459152
2018-02-01,1,3,52.436745
2018-02-02,1,3,55.657383
2018-02-03,1,3,58.552135
2018-02-04,1,3,61.02334
2018-02-05,1,3,42.43216
2018-02-06,1,3,46.920307
2018-02-07,1,3,47.142475
2018-02-08,1,3,50.08456
2018-02-09,1,3,53.319653
2018-02-10,1,3,56.444008
2018-02-11,1,3,59.414948
